Timestamp,CPU (%),Memory (%),Network (bytes_sent),Network (bytes_recv)
2023-09-05 19:15:24.991833,0.0,68.1,1357832192,4210357248
2023-09-05 19:15:25.196675,61.1,68.3,1357832192,4210357248
2023-09-05 19:15:25.402056,60.4,67.8,1357832192,4210357248
2023-09-05 19:15:25.602863,57.1,67.8,1357834240,4210358272
2023-09-05 19:15:25.803328,53.3,67.8,1357835264,4210358272
2023-09-05 19:15:26.008600,51.2,67.9,1357835264,4210359296
2023-09-05 19:15:26.210109,53.3,68.0,1357835264,4210360320
2023-09-05 19:15:26.415397,57.6,67.9,1357836288,4210360320
2023-09-05 19:15:26.618921,53.5,67.9,1357836288,4210360320
2023-09-05 19:15:26.824167,54.4,67.8,1357837312,4210361344
