Timestamp,CPU (%),Memory (%),Network (bytes_sent),Network (bytes_recv)
2023-09-06 00:25:22.480573,0.0,78.9,1462514688,2107204608
2023-09-06 00:25:22.681323,65.8,79.0,1462519808,2107940864
2023-09-06 00:25:22.886253,60.4,79.0,1462525952,2108928000
2023-09-06 00:25:23.091524,70.0,79.0,1462532096,2109741056
2023-09-06 00:25:23.294569,70.3,79.0,1462537216,2110290944
2023-09-06 00:25:23.500078,62.4,79.0,1462543360,2111114240
2023-09-06 00:25:23.703273,61.3,79.0,1462547456,2111809536
2023-09-06 00:25:23.908572,59.4,79.0,1462548480,2111844352
2023-09-06 00:25:24.113886,61.9,79.0,1462548480,2111844352
2023-09-06 00:25:24.318975,53.9,79.0,1462548480,2111844352
2023-09-06 00:25:24.524226,62.3,78.8,1462548480,2111844352
2023-09-06 00:25:24.727797,57.0,78.8,1462548480,2111844352
2023-09-06 00:25:24.933120,55.4,78.7,1462548480,2111844352
2023-09-06 00:25:25.138369,52.7,78.7,1462548480,2111844352
2023-09-06 00:25:25.343639,0.0,78.5,1462548480,2111844352
2023-09-06 00:25:25.544071,55.3,78.4,1462549504,2111861760
2023-09-06 00:25:25.748119,56.0,78.4,1462554624,2112587776
2023-09-06 00:25:25.953355,58.3,78.3,1462561792,2113522688
2023-09-06 00:25:26.157818,53.7,78.3,1462566912,2114311168
2023-09-06 00:25:26.360964,54.3,78.3,1462574080,2115326976
2023-09-06 00:25:26.565218,60.8,78.3,1462582272,2116282368
2023-09-06 00:25:26.770814,67.2,78.4,1462585344,2116694016
2023-09-06 00:25:26.976355,64.2,78.4,1462592512,2117862400
2023-09-06 00:25:27.177714,59.2,78.4,1462598656,2118660096
2023-09-06 00:25:27.382988,0.0,78.7,1462604800,2119739392
2023-09-06 00:25:27.585443,63.5,79.0,1462609920,2120406016
2023-09-06 00:25:27.790753,66.3,78.9,1462609920,2120406016
2023-09-06 00:25:27.994060,64.7,78.9,1462609920,2120406016
2023-09-06 00:25:28.197293,57.6,78.9,1462609920,2120406016
2023-09-06 00:25:28.402549,55.8,78.9,1462611968,2120406016
2023-09-06 00:25:28.607807,58.1,78.9,1462616064,2120419328
2023-09-06 00:25:28.811265,62.0,78.9,1462625280,2121682944
2023-09-06 00:25:29.016601,0.0,78.9,1462630400,2122435584
2023-09-06 00:25:29.221997,0.0,78.8,1462635520,2123258880
2023-09-06 00:25:29.423655,0.0,78.8,1462643712,2124472320
2023-09-06 00:25:29.628931,61.8,78.6,1462649856,2125309952
2023-09-06 00:25:29.834209,52.7,78.6,1462658048,2126601216
2023-09-06 00:25:30.039457,0.0,78.6,1462664192,2127483904
2023-09-06 00:25:30.244455,0.0,78.6,1462666240,2127679488
2023-09-06 00:25:30.447562,0.0,78.6,1462671360,2128428032
2023-09-06 00:25:30.652722,59.6,78.5,1462676480,2129027072
2023-09-06 00:25:30.857963,50.0,78.5,1462676480,2129027072
2023-09-06 00:25:31.058940,56.6,78.5,1462676480,2129027072
2023-09-06 00:25:31.261740,50.7,78.5,1462676480,2129027072
2023-09-06 00:25:31.466998,59.6,78.4,1462676480,2129027072
2023-09-06 00:25:31.672265,53.5,78.4,1462676480,2129027072
2023-09-06 00:25:31.877509,55.3,78.6,1462683648,2129757184
2023-09-06 00:25:32.081721,73.4,78.7,1462688768,2130546688
2023-09-06 00:25:32.286632,51.5,78.7,1462694912,2131048448
