Timestamp,CPU (%),Memory (%),Network (bytes_sent),Network (bytes_recv)
2023-09-05 19:16:11.791257,0.0,67.9,1357989888,4210591744
2023-09-05 19:16:11.996423,0.0,67.9,1357989888,4210591744
2023-09-05 19:16:12.201739,0.0,68.0,1357989888,4210591744
2023-09-05 19:16:12.407050,0.0,67.9,1357989888,4210591744
2023-09-05 19:16:12.612306,0.0,67.9,1357989888,4210591744
2023-09-05 19:16:12.813519,56.5,67.9,1357989888,4210591744
2023-09-05 19:16:13.018868,55.7,67.9,1357989888,4210591744
2023-09-05 19:16:13.224394,53.2,67.9,1357989888,4210591744
2023-09-05 19:16:13.429642,42.3,67.9,1357989888,4210591744
2023-09-05 19:16:13.634935,0.0,67.9,1357989888,4210591744
2023-09-05 19:16:13.840256,54.8,67.9,1357989888,4210592768
2023-09-05 19:16:14.043655,47.8,67.9,1357989888,4210592768
2023-09-05 19:16:14.249009,51.7,67.9,1357989888,4210592768
2023-09-05 19:16:14.451226,0.0,67.9,1357989888,4210592768
2023-09-05 19:16:14.656487,0.0,67.8,1357989888,4210592768
2023-09-05 19:16:14.860619,52.1,67.8,1357989888,4210592768
2023-09-05 19:16:15.061608,57.1,67.8,1357989888,4210592768
2023-09-05 19:16:15.265635,42.6,67.8,1357989888,4210592768
2023-09-05 19:16:15.470643,58.2,67.8,1358020608,4210592768
2023-09-05 19:16:15.671615,49.2,67.8,1358020608,4210593792
2023-09-05 19:16:15.876905,49.5,67.8,1358020608,4210594816
2023-09-05 19:16:16.082182,50.5,68.0,1358020608,4210594816
2023-09-05 19:16:16.287435,58.0,68.0,1358020608,4210594816
2023-09-05 19:16:16.492692,48.3,67.9,1358020608,4210594816
2023-09-05 19:16:16.697954,58.4,67.9,1358020608,4210594816
2023-09-05 19:16:16.902374,42.1,67.9,1358020608,4210594816
2023-09-05 19:16:17.107658,55.8,68.0,1358020608,4210597888
2023-09-05 19:16:17.310676,50.5,68.0,1358020608,4210597888
2023-09-05 19:16:17.511605,48.5,68.0,1358020608,4210597888
2023-09-05 19:16:17.716856,0.0,68.0,1358020608,4210597888
2023-09-05 19:16:17.922104,49.5,67.9,1358020608,4210597888
2023-09-05 19:16:18.127361,49.0,67.8,1358020608,4210598912
2023-09-05 19:16:18.328218,59.6,67.9,1358020608,4210598912
2023-09-05 19:16:18.533476,43.8,67.8,1358020608,4210598912
2023-09-05 19:16:18.738813,51.5,67.8,1358020608,4210598912
2023-09-05 19:16:18.944089,45.2,67.9,1358020608,4210598912
2023-09-05 19:16:19.146472,56.2,67.8,1358020608,4210598912
2023-09-05 19:16:19.347399,49.5,67.9,1358020608,4210598912
2023-09-05 19:16:19.552175,49.2,67.9,1358020608,4210598912
2023-09-05 19:16:19.752440,0.0,67.8,1358020608,4210598912
2023-09-05 19:16:19.957260,53.0,67.8,1358020608,4210598912
2023-09-05 19:16:20.158097,46.3,67.9,1358020608,4210598912
2023-09-05 19:16:20.361450,49.3,67.9,1358020608,4210598912
2023-09-05 19:16:20.566716,48.8,67.9,1358022656,4210599936
2023-09-05 19:16:20.768928,58.4,67.9,1358022656,4210599936
2023-09-05 19:16:20.974171,40.8,67.9,1358022656,4210599936
