Timestamp,CPU (%),Memory (%),Network (bytes_sent),Network (bytes_recv)
1693842875.007849,17.0,81.2,1204849664,2700788736
1693842875.213262,52.7,80.9,1205872640,2702689280
1693842875.4137118,35.6,80.9,1205883904,2704168960
1693842875.6189399,36.1,80.9,1205900288,2706513920
1693842875.824231,31.1,81.0,1205922816,2708999168
1693842876.029769,33.8,80.9,1205924864,2709259264
1693842876.232573,22.7,80.9,1205924864,2709259264
1693842876.434418,26.5,80.9,1205924864,2709259264
1693842876.637578,23.8,80.9,1205924864,2709259264
1693842876.838026,37.0,80.2,1205955584,2709262336
1693842877.041467,9.9,80.2,1205955584,2709262336
1693842877.2455559,12.4,80.2,1205955584,2709262336
1693842877.448065,13.9,80.2,1205955584,2709262336
1693842877.654506,13.0,80.2,1205955584,2709262336
1693842877.859644,10.2,80.2,1205955584,2709262336
1693842878.0627031,17.8,80.5,1205955584,2709262336
1693842878.264991,20.1,80.4,1205956608,2709262336
1693842878.467056,31.4,80.4,1205971968,2711546880
1693842878.67091,28.3,80.4,1205988352,2714020864
1693842878.8742359,40.3,80.4,1206004736,2716466176
1693842879.079495,45.8,80.9,1206013952,2717822976
1693842879.283242,28.1,80.9,1206013952,2717822976
1693842879.48722,20.7,80.9,1206013952,2717822976
1693842879.693013,0.0,80.9,1206013952,2717822976
