Timestamp,CPU (%),Memory (%),Network (bytes_sent),Network (bytes_recv)
1693889034.076195,11.7,75.0,1260791808,4073583616
1693889034.283083,30.5,75.2,1260791808,4073583616
1693889034.4914172,42.0,75.3,1262621696,4075413504
1693889034.6997561,35.7,75.4,1264461824,4077256704
1693889034.911262,38.6,75.4,1266439168,4079234048
1693889035.120821,37.3,75.2,1268385792,4081180672
1693889035.329692,28.2,75.3,1270328320,4083123200
1693889035.537358,33.7,75.4,1272307712,4085103616
1693889035.746093,34.9,75.0,1274242048,4087036928
