Timestamp,CPU (%),Memory (%),Network (bytes_sent),Network (bytes_recv)
1693842683.357422,21.2,80.8,1187437568,2323359744
1693842683.562992,47.8,80.9,1187447808,2324598784
1693842683.7683158,21.5,81.0,1187447808,2324598784
1693842683.973736,18.7,81.0,1187447808,2324598784
1693842684.1750872,22.6,81.1,1187447808,2324598784
1693842684.3783329,22.4,81.1,1187447808,2324598784
1693842684.579663,23.4,81.0,1187447808,2324598784
1693842684.783871,20.9,81.0,1187447808,2324598784
1693842684.988472,21.5,80.9,1187447808,2324598784
1693842685.192224,23.7,80.9,1187448832,2324598784
1693842685.394542,24.1,80.6,1187449856,2324598784
1693842685.596357,22.4,80.6,1187449856,2324598784
1693842685.799893,20.7,80.6,1187453952,2324603904
1693842686.006678,24.5,80.5,1187453952,2324604928
1693842686.2097821,0.0,80.2,1187453952,2324604928
1693842686.412523,29.5,80.2,1187454976,2324604928
1693842686.618168,29.5,80.2,1187456000,2324604928
1693842686.822447,11.5,80.2,1187456000,2324604928
1693842687.024235,12.1,80.2,1187459072,2324785152
1693842687.2280478,28.1,80.2,1187466240,2325638144
1693842687.4302888,16.3,80.1,1187472384,2326470656
1693842687.6334238,14.4,80.2,1187480576,2327293952
1693842687.838437,13.8,80.1,1187487744,2328173568
1693842688.041588,14.8,80.1,1187494912,2329009152
1693842688.24587,0.0,80.2,1187508224,2330812416
1693842688.449114,24.3,80.2,1187523584,2333163520
1693842688.650479,13.0,80.2,1187523584,2333163520
1693842688.855197,10.5,80.5,1187523584,2333163520
1693842689.0595021,13.9,80.5,1187524608,2333164544
1693842689.264321,11.1,80.4,1187524608,2333164544
1693842689.4692779,13.0,80.4,1187524608,2333164544
1693842689.67489,17.2,80.4,1187524608,2333164544
1693842689.878262,29.9,80.4,1187524608,2333164544
1693842690.083891,32.2,80.3,1187524608,2333164544
1693842690.2892,0.0,79.7,1187531776,2334053376
1693842690.4947178,24.1,79.6,1187543040,2335504384
1693842690.69996,17.7,79.6,1187554304,2337006592
1693842690.906087,25.9,79.3,1187566592,2338563072
1693842691.108896,24.6,79.4,1187578880,2340252672
1693842691.312591,15.6,79.4,1187578880,2340252672
1693842691.5185752,16.7,79.4,1187579904,2340252672
1693842691.721914,17.3,79.4,1187579904,2340252672
1693842691.9255989,8.4,79.5,1187579904,2340252672
1693842692.1287239,12.3,79.5,1187579904,2340252672
1693842692.335161,12.1,79.5,1187579904,2340252672
1693842692.538143,10.9,79.5,1187579904,2340252672
1693842692.742382,15.2,79.5,1187580928,2340252672
1693842692.946652,13.8,79.8,1187580928,2340252672
1693842693.151037,11.8,79.8,1187580928,2340253696
1693842693.3552508,30.5,79.8,1187580928,2340253696
1693842693.557824,38.8,79.8,1187597312,2342486016
1693842693.762625,33.8,79.8,1187613696,2344989696
1693842693.964462,29.9,79.9,1187631104,2347487232
1693842694.1693928,0.0,79.8,1187645440,2348949504
1693842694.374923,0.0,79.8,1187645440,2348949504
1693842694.5804422,13.2,79.8,1187645440,2348949504
1693842694.786818,9.9,79.8,1187645440,2348949504
1693842694.988342,0.0,79.8,1187645440,2348949504
1693842695.191782,0.0,79.8,1187645440,2348949504
1693842695.396383,0.0,79.8,1187645440,2348949504
