Timestamp,CPU (%),Memory (%),Network (bytes_sent),Network (bytes_recv)
2023-09-05 13:49:19.339044,13.3,76.0,1276996608,4089640960
2023-09-05 13:49:19.549712,48.6,76.1,1276996608,4089641984
2023-09-05 13:49:19.759816,0.0,76.1,1278976000,4091621376
2023-09-05 13:49:19.970539,0.0,76.2,1280864256,4093509632
2023-09-05 13:49:20.182048,0.0,76.2,1282787328,4095432704
2023-09-05 13:49:20.393338,30.7,76.2,1284793344,4097438720
2023-09-05 13:49:20.599973,27.4,76.1,1286758400,4099403776
2023-09-05 13:49:20.811545,36.0,75.9,1288696832,4101342208
2023-09-05 13:49:21.019025,34.1,75.8,1290657792,4103303168
